1456	1871	1361	1
1592	1080	1694	1
1121	487	1670	1
1249	792	1135	1
1464	1933	1206	1
1856	1088	1965	1
1456	1934	1196	1
1458	1916	1223	1
1451	1918	1192	1
1460	1910	1234	1
1386	1952	1239	1
1405	1791	1461	1
3327	1447	1349	1
1313	2064	1456	1
1301	2031	1399	1
1274	2023	1510	1
1190	1773	1299	1
1261	1574	1745	1
1278	1814	1397	1
3746	1586	1108	1
830	1182	867	1
1360	1561	1143	1
1331	1414	1033	1
1243	1560	963	1
1369	1731	1144	1
1420	1731	1098	1
943	1908	433	1
845	2065	313	1
845	2039	292	1
839	2061	308	1
775	1997	279	1
822	2067	285	1
766	1977	297	1
766	2008	285	1
768	1985	289	1
818	2019	269	1
757	1964	274	1
948	1904	467	1
761	1980	294	1
835	1826	437	1
812	1737	425	1
743	878	494	1
733	910	475	1
705	827	489	1
718	1890	369	1
601	2024	395	1
1124	620	1039	1
812	1032	923	1
858	1028	839	1
956	669	970	1
798	1174	865	1
794	1090	874	1
853	1345	788	1
999	728	1026	1
857	780	1048	1
878	795	1082	1
884	840	892	1
1056	666	988	1
975	462	1044	1
1072	621	997	1
1090	629	981	1
1094	622	980	1
897	737	1182	1
847	1435	587	1
867	753	1091	1
804	614	773	1
2375	1931	2519	1
2083	2148	2709	1
2216	1655	2584	1
2223	1702	2585	1
2366	1677	2527	1
2238	1693	2550	1
2702	990	2307	1
2784	1642	2482	1
2789	1716	2453	1
2760	1768	2439	1
2732	1702	2481	1
2239	2076	2751	1
2135	2124	2777	1
2255	2028	2734	1
2257	2019	2745	1
2258	2041	2756	1
2007	1994	2247	1
2552	2142	1256	1
2149	1936	2776	1
2604	2009	2595	1
1040	445	1563	1
1145	742	1515	1
907	1209	1516	1
1102	436	1725	1
1074	1144	1200	1
1153	2169	823	1
1038	1275	1056	1
1147	2165	799	1
994	1117	1045	1
1160	2175	753	1
1227	624	1535	1
996	519	1462	1
1146	2177	869	1
999	530	1494	1
755	537	1493	1
963	1169	1464	1
988	891	1311	1
1111	764	1359	1
935	1129	1430	1
1094	471	1669	1
2172	1154	2531	1
1978	1314	2708	1
1957	1068	2698	1
1953	1101	2713	1
2120	1416	2688	1
1993	1173	2669	1
1981	1100	2638	1
2123	1058	2624	1
2129	1042	2626	1
1985	997	2615	1
2000	1017	2627	1
2155	919	2520	1
1959	1095	2706	1
2020	900	2523	1
2172	951	2535	1
2185	951	2505	1
2163	912	2461	1
2152	929	2506	1
2007	913	2528	1
2001	963	2596	1
1439	1379	1384	1
1542	2463	1194	1
1655	2518	1186	1
1580	1502	1626	1
1496	2095	1301	1
1833	2390	1070	1
1842	2454	1102	1
1810	1940	1969	1
1700	2048	1181	1
1887	2166	2158	1
1749	1906	1218	1
1885	2098	2164	1
1771	1846	1279	1
1886	2277	2065	1
1944	2248	2001	1
1663	2172	1273	1
1895	2282	2076	1
1891	2233	2097	1
1934	2124	2150	1
1529	2424	1213	1
624	878	1314	1
746	565	1739	1
729	1146	1787	1
720	1109	1776	1
729	1122	1792	1
832	1159	1737	1
687	1829	640	1
697	1836	669	1
712	1040	1791	1
803	1012	1762	1
715	1072	1759	1
781	396	1652	1
697	1702	734	1
685	951	1239	1
682	1034	1116	1
676	1032	1159	1
761	411	1688	1
751	448	1717	1
669	835	1304	1
711	585	1718	1
513	510	267	1
493	509	265	1
488	488	457	1
486	474	309	1
507	392	299	1
472	484	257	1
473	489	253	1
480	426	385	1
487	327	401	1
470	442	321	1
465	425	277	1
511	454	268	1
456	448	252	1
484	480	447	1
516	478	399	1
504	481	346	1
496	484	336	1
483	484	402	1
492	514	261	1
475	487	348	1
338	341	239	1
330	298	260	1
336	295	263	1
325	285	263	1
313	281	267	1
338	337	241	1
335	326	238	1
338	324	240	1
306	267	284	1
332	276	286	1
333	268	284	1
330	287	274	1
329	257	289	1
331	289	273	1
314	276	267	1
298	258	264	1
322	279	257	1
303	231	290	1
331	289	256	1
290	234	302	1
888	774	861	1
980	940	1089	1
1195	937	974	1
1115	876	989	1
1151	1020	1083	1
895	906	998	1
1142	1158	1151	1
904	1446	1017	1
812	770	859	1
1032	1521	997	1
1312	508	1753	1
1178	892	1916	1
1053	1556	1922	1
1159	743	1880	1
1328	492	1716	1
1060	1436	1247	1
1067	1462	1247	1
962	2076	1043	1
1229	969	2033	1
1370	550	1731	1
1380	510	1727	1
1152	763	1970	1
1347	505	1688	1
984	1319	2031	1
1053	1007	1470	1
1056	977	1483	1
929	1240	1281	1
1046	1110	1317	1
1053	1136	1348	1
1027	1450	1884	1
1449	695	1119	1
1365	560	1218	1
1377	561	1192	1
1365	542	1248	1
1377	542	1248	1
1388	458	1338	1
1388	567	1292	1
1383	559	1313	1
1376	546	1291	1
1396	533	1297	1
1221	423	1589	1
1234	809	1061	1
1368	564	1275	1
1213	789	1099	1
1245	786	1109	1
1331	747	1119	1
1223	803	1088	1
1243	889	1008	1
1233	848	1050	1
1380	701	1141	1
591	1081	990	1
622	842	2011	1
668	2191	1184	1
639	934	1970	1
639	896	1971	1
638	910	1989	1
629	911	2007	1
661	1784	2182	1
856	588	2256	1
856	547	2291	1
630	1103	2169	1
651	2325	1232	1
831	484	2300	1
593	1027	1038	1
595	1021	1038	1
599	1013	1026	1
449	396	1848	1
582	381	1846	1
472	391	1825	1
498	360	1739	1
1497	1378	1411	1
1818	1359	2353	1
1871	797	2680	1
1759	723	2670	1
1934	913	2619	1
1943	822	2635	1
1767	763	2548	1
1889	810	2480	1
2038	1514	2694	1
1870	1470	2583	1
1726	656	2621	1
1554	1108	2481	1
1679	606	2545	1
1480	1369	1596	1
1490	1360	1552	1
1571	1313	1623	1
1566	1311	1653	1
